In_0	In_1	In_2	In_3	In_4	In_5	
1461.3446154177336	71127.28695088475	57714.86232659498	47978.5544511632	173502.08397188995	239726.08004815088	
140217.4473313368	194973.5633455644	327728.61202519946	308754.7245500716	356059.8991267269	404291.26704993204	
237.52303422089275	52748.21025515117	164702.72787895252	163092.34209437252	118096.40712003481	124105.11366912139	
139240.4053154694	247096.88903805366	287022.9619158934	248741.63531124344	300237.9734343637	284840.6598477493	
2985.1618229695055	14969.646468110708	141620.30555537462	94576.92581908079	95852.01335438911	188383.76046948097	
174227.0583198997	275293.28211677156	312426.7868917044	319394.31841358374	277501.399153166	359882.6559916207	
228938.53811507815	333481.6107096543	459851.53111557954	459523.9842895168	445930.7666724708	411579.9649750437	
152741.67427150728	207896.0988716068	349605.56541739334	362916.8012582946	313007.83563426044	387852.5684470534	
8139.053121663796	22402.614169449906	24557.95622761668	103568.81184359183	80749.68362781203	187425.28243994125	
119058.18184233102	161285.053839525	220053.9716147517	229493.1704301386	302165.89968976926	251417.97791312504	
126104.80174583712	367944.6484178955	438085.54862561135	337065.23482316145	340674.9115226771	358257.28375376476	
56792.700790979965	111359.16949798759	88279.53106058692	80485.78806851954	147098.99409381748	132742.21580741223	
99383.47657054545	181511.84641935726	172513.28787158814	152930.81865691676	141463.5127562326	132632.72378902067	
100.99061501024686	204073.65432486698	263525.2444932769	331372.54119401966	264096.8561249583	214263.6964118587	
81748.47584892537	105572.08753704146	124307.72352573057	188827.14382019293	170963.77714893935	174516.5713589651	
4550.2388313953425	73269.1562535808	43376.42644996791	118406.4434860916	91120.34299111279	185344.3477522966	
11897.46268879889	13952.064416289397	50989.684492054155	71120.982770466	85861.38897758086	70454.46140288158	
4318.325622164944	6243.514924645779	187968.1317554135	127567.50679954047	110990.91174728892	119414.17400282253	
639.8421578018781	106923.61923850403	185452.2139953542	250270.21962555964	178806.52755974152	214698.64784913923	
203344.494245046	275126.6554264787	298168.6912098508	357763.8423402809	326745.33009681985	318572.7806552252	
40.61456454112582	11350.319212745335	108127.76881971803	106926.37356818326	89523.5484409395	145205.65715581732	
7139.780875716135	21792.279199239732	24827.794119099977	183898.88161091233	171017.19337077846	216312.17412032763	
21340.9130052168	139555.42336589037	221433.68166845688	150998.12027891184	199274.30882249167	237028.23825196835	
51692.13636952931	92301.51714952379	125425.96796462806	180301.5402746271	271910.6451307237	213187.30602492508	
34363.333597349265	45655.60209690911	76904.253950143	187552.35985547764	165356.4328765542	162540.17121505417	
127602.54339555831	243529.68446848154	228899.83854494317	233882.96931862365	207686.60100987268	294891.6451695924	
544.2802819637169	4008.0302841375906	56108.479873740005	36250.42910612655	31258.10382483377	68477.29603531731	
879.8798553931528	115582.31411486724	115621.46804188707	136734.34842008125	114278.4670625658	203757.19927615768	
1487.244527863483	118636.49917518337	74306.04112016833	64273.262471966475	71302.12892873885	58874.63189860244	
183445.70677059455	332732.8171142293	279655.0414171844	265628.96120659664	377429.63368294656	335661.70038234943	
32825.72889471126	213327.69555238442	170647.08575963927	202305.72120673058	160136.04253391072	161514.8065685271	
56729.92396162978	236992.02058441716	187833.14830033667	152037.69406497607	140822.94727711778	134937.2559735033	
192001.16807773852	427517.0558915895	343047.0776330878	436818.5766558035	493245.7138434257	440949.36850649834	
238936.15356177202	442286.0849476152	494294.0310107687	506051.8347600496	433052.41395414073	478283.7778524963	
128628.58916062964	176951.6978425271	205872.41191323454	250109.24036043146	223503.69249049822	326097.5169472081	
23389.522938577258	54218.16769938349	44411.41422479476	37218.71060964937	80324.92293145425	125438.45676580982	
1658.9468186540757	71622.03444983347	106158.09561496522	77910.35042877353	65724.54182154161	58152.88866566746	
2135.7034566351736	134993.94921534875	246948.42934626777	241926.76113432282	292829.69038471376	239671.12248302912	
50090.43497543245	103220.31190273877	101359.53729240621	81326.65741939993	207678.6741623943	203634.45309465393	
23228.65247089438	173517.31884336402	121655.21887618571	221026.11908073328	169238.3894627958	175570.42835148805	
146280.47340075806	287472.53718105	319194.3481152058	257064.366408628	240677.8156388766	272575.77080968587	
50229.970381455496	118145.2949621958	235233.95582561113	256535.55690887006	331767.0703345635	370920.9513407339	
96057.15240536278	126646.08148761139	152505.48116661268	135961.72041733895	128211.02692575475	122969.37013209984	
997.9882577867685	157585.62110819315	121273.43503541025	170700.84319041582	124309.49771868793	112250.79926067078	
44.97368444247689	4510.159390130016	9981.463513682773	122357.38163223564	116257.65716696963	92768.39370065348	
224903.87591325378	305826.96586642676	368276.4966183363	334212.0778229931	381860.00220763305	394217.9577409475	
83980.77632852613	297602.56745185104	209186.5144568055	191835.9489817115	177700.6729884925	203556.56667154413	
1020.7459518794332	65343.97685427357	181351.58022823712	126646.37210885092	218603.28591891885	177617.2260369847	
89854.72356895798	244264.4809633411	326615.9883483874	268754.9272388964	242119.14001079765	279210.56846265524	
1527.9914031942985	25901.25294451178	65754.17502167096	90382.02387791297	167644.3546114842	199553.81224148115	
95515.29600136126	231840.2455619587	225771.93883344525	278932.1973797666	229592.21459171912	296576.05275991245	
